caso;Hs;Tp;inc.;dir;S;gamma;alfa;rnd 
851;3.52;10.32;354.48;195.52;21;2.5134;8.00E-04;4728
852;2.4;12.95;200.62;349.38;7;2.3041;1.35E-03;5056
853;5.65;10.03;45.41;144.59;8;2.5764;2.41E-03;9608
854;3.84;12.47;83.31;106.69;2;2.5208;5.49E-03;4643
855;4.72;10.89;59.47;130.53;5;2.5904;3.34E-03;7228
856;5.76;8.83;162.73;27.27;3;2.2444;3.02E-03;6547
857;2.45;11.58;345.74;204.26;2;2.6466;3.50E-03;4119
858;4.14;11.78;320.06;229.94;23;2.4099;1.43E-03;6973
859;5.15;8.32;284.59;265.41;8;2.5587;1.00E-03;2279
860;2.9;11.57;243.67;306.33;3;2.6087;2.40E-03;8170
861;2.97;10.78;323.01;226.99;23;2.3055;1.02E-03;9225
862;5.54;11.43;85;105;20;2.5724;6.21E-03;809
863;4.68;12.24;162.47;27.53;25;2.2859;1.16E-03;6964
864;4.53;10.99;186.07;3.93;7;2.5115;3.84E-03;2194
865;4.96;8.88;79.38;110.62;11;2.3522;3.10E-03;9820
866;4.38;8.8;134.25;55.75;15;2.5804;3.81E-03;6979
867;5.26;10.37;355.77;194.23;16;2.4083;4.32E-03;3040
868;2.47;9.75;281.49;268.51;16;2.4686;1.97E-03;5977
869;2.35;9.92;46.84;143.16;9;2.5376;2.39E-03;9881
870;4.53;8.96;349.55;200.45;17;2.3041;2.28E-03;9278
871;5.52;12.87;341.79;208.21;9;2.5804;1.14E-03;6530
872;1.73;11.45;178.13;11.87;8;2.4463;3.35E-03;3290
873;2.1;10.89;21.13;168.87;14;2.6005;1.11E-03;2541
874;4.63;11.51;296.06;253.94;25;2.6129;1.08E-03;8252
875;1.63;8.91;109.22;80.78;2;2.5904;7.77E-03;9780
876;5.49;10.37;211.52;338.48;15;2.2444;2.69E-03;7071
877;2.68;12.05;175.79;14.21;9;2.3417;2.71E-03;7861
878;5.99;10.19;253.32;296.68;2;2.5024;7.97E-04;8837
879;5.24;11.57;269.54;280.46;14;2.4034;4.39E-03;7373
880;3.5;10.92;226.67;323.33;20;2.3939;1.18E-03;5292
881;2.18;10.06;180.66;9.34;5;2.5864;2.07E-03;241
882;3.44;8.7;89.2;100.8;23;2.5944;6.24E-03;2073
883;3.03;8.82;221.6;328.4;2;2.4115;5.12E-04;5742
884;2.19;12.51;38.72;151.28;3;2.4952;2.30E-03;2123
885;3.59;9.71;37.3;152.7;8;2.4329;1.66E-03;9343
886;2.84;10.07;92.72;97.28;2;2.6531;9.15E-03;9378
887;5.65;9.53;314.94;235.06;21;2.5301;5.65E-03;8351
888;1.99;10.02;29.28;160.72;25;2.2575;2.73E-03;2037
889;4.07;10;9.93;180.07;6;2.5529;2.51E-03;1692
890;5.88;10.43;68.82;121.18;22;2.4131;2.26E-03;5589
891;1.67;10.61;48.57;141.43;8;2.3027;3.93E-04;3686
892;4.41;8.04;298.28;251.72;8;2.4652;1.49E-03;4899
893;5.47;11.49;158.93;31.07;19;2.3582;4.35E-03;596
894;4.14;8.38;238.2;311.8;10;2.2457;5.53E-04;3441
895;5.11;9.56;201.54;348.46;22;2.5414;7.69E-04;2102
896;1.78;10.85;18.18;171.82;17;2.6149;7.47E-03;9651
897;3.33;9.74;252.26;297.74;9;2.4312;1.03E-03;1674
898;3.62;10.34;10.33;179.67;5;2.5646;8.16E-03;2012
899;4.74;8.13;22.23;167.77;9;2.2655;2.37E-03;5193
900;3.03;9.55;9.31;180.69;18;2.2859;4.81E-04;8401
901;2.96;9.1;283.58;266.42;2;2.3126;3.40E-03;9095
902;4.49;12.54;283.1;266.9;12;2.2998;2.79E-03;7920
903;4.72;9.47;292.44;257.56;20;2.5301;9.20E-04;2481
904;2.08;10.98;63.04;126.96;8;2.3891;3.50E-03;6221
905;2.68;11.58;67.77;122.23;14;2.2943;2.04E-03;6774
906;5.08;10.53;167.22;22.78;16;2.5097;8.64E-04;3660
907;4.62;8.71;120.95;69.05;18;2.497;8.55E-04;1200
908;3.58;10.86;202.9;347.1;22;2.3387;6.72E-04;3915
909;3.95;9.15;277.88;272.12;11;2.6531;3.63E-03;605
910;2.2;9.24;191.8;358.2;21;2.2943;2.77E-03;9717
911;5.52;12.91;7.64;182.36;14;2.4379;2.84E-03;3978
912;2.7;9.31;277.36;272.64;22;2.5115;2.46E-03;2194
913;3.6;11.82;39.65;150.35;9;2.2655;2.23E-03;8704
914;4.69;8.8;10.63;179.37;12;2.3373;3.06E-03;2239
915;2.17;10.97;193.9;356.1;4;2.4531;3.80E-03;7436
916;3.92;9.31;222.76;327.24;17;2.5024;4.38E-03;3487
917;5.63;8.48;163.42;26.58;23;2.2859;2.25E-03;7978
918;3.4;9.58;35.34;154.66;13;2.497;3.88E-03;3170
919;3.44;9.72;295.23;254.77;4;2.2804;1.92E-03;1871
920;2.95;12.74;315.13;234.87;10;2.3643;2.08E-03;602
921;3.46;9.22;17.07;172.93;17;2.3782;1.99E-03;3209
922;5.77;11.07;165.02;24.98;9;2.4916;1.39E-03;8617
923;2.06;11.15;148.8;41.2;1;2.5529;8.49E-04;2073
924;5.53;11.12;321.21;228.79;18;2.2723;3.03E-03;2943
925;3.01;11.35;42.07;147.93;7;2.2943;6.85E-04;211
926;5.98;12.17;249.07;300.93;7;2.2804;4.98E-04;5577
927;5.02;8.45;195.33;354.67;1;2.4446;2.86E-03;6167
928;2.21;8.82;304.48;245.52;21;2.4988;9.87E-04;6387
929;1.73;8.13;163.16;26.84;1;2.5282;7.63E-04;9607
930;2.15;11.96;26.35;163.65;11;2.5965;1.79E-03;5339
931;4.57;12.88;160.81;29.19;25;2.3256;3.01E-03;9638
932;2.2;11.17;197.8;352.2;18;2.3447;2.85E-03;5895
933;2.45;9.11;86.6;103.4;17;2.4792;1.08E-03;3866
934;3.99;9.95;303.28;246.72;18;2.3939;1.66E-03;9647
935;2.43;12.17;117.37;72.63;21;2.3735;4.57E-03;5425
936;2.32;8.01;134.48;55.52;13;2.3285;2.05E-03;2076
937;2.17;10.33;57.77;132.23;10;2.4279;4.60E-03;2355
938;1.89;11.22;36.92;153.08;21;2.5226;1.40E-03;5272
939;5.78;10.92;34.98;155.02;25;2.2832;1.30E-03;838
940;4.73;11.86;54.78;135.22;4;2.2998;1.42E-03;5234
941;3.65;10.93;62.34;127.66;12;2.4739;2.87E-03;6807
942;3.33;10.9;221.94;328.06;13;2.3477;9.56E-04;2382
943;5.65;11.6;77.72;112.28;1;2.3183;2.24E-03;4225
944;3.04;10.33;99.85;90.15;17;2.4262;1.54E-03;6476
945;3.82;8.37;211.68;338.32;22;2.5208;4.46E-03;9419
946;3.25;11.76;117.43;72.57;17;2.6445;3.12E-03;1679
947;2.31;11.06;355.33;194.67;12;2.5491;1.15E-03;7429
948;3.44;8.6;8.99;181.01;14;2.3735;8.91E-04;6773
949;5.65;12.44;16.59;173.41;9;2.4213;4.70E-03;2085
950;2.26;8.26;88.18;101.82;8;2.2846;3.06E-03;9230
951;5.13;10.78;264.23;285.77;19;2.3828;8.77E-04;9044
952;2.04;12.01;304.9;245.1;16;2.4617;2.14E-03;2062
953;4.63;11.1;204.64;345.36;18;2.3522;7.20E-04;2736
954;4.59;11.23;185.11;4.89;8;2.3027;3.29E-03;7497
955;2.86;9.31;323.13;226.87;21;2.6275;1.46E-03;7900
956;3.78;12.37;232.66;317.34;15;2.2629;2.52E-03;29
957;4.38;9.14;266.54;283.46;14;2.3027;4.43E-04;7934
958;1.85;12.57;149.1;40.9;18;2.4774;8.99E-04;7941
959;4.14;12.57;131.15;58.85;7;2.3169;5.79E-04;7864
960;4.93;10.56;15.93;174.07;10;2.5472;3.94E-03;7410
961;1.65;8.92;276.32;273.68;8;2.4463;2.07E-03;9752
962;3.54;11.02;261.04;288.96;14;2.3828;7.77E-04;1651
963;3.25;8.95;158.8;31.2;14;2.4379;5.18E-03;2875
964;3.42;11.2;184.83;5.17;2;2.5189;2.26E-03;6333
965;2.13;12.19;22.34;167.66;4;2.4774;5.99E-03;2662
966;3.57;11.77;283.47;266.53;23;2.3797;1.40E-03;1231
967;1.7;9.06;62.46;127.54;10;2.5339;9.04E-04;3823
968;4.92;11.86;345.22;204.78;7;2.5189;6.96E-03;5551
969;4.47;9.72;201.64;348.36;23;2.2405;1.16E-03;1471
970;4.98;11.55;17.45;172.55;3;2.3704;4.25E-03;3007
971;3.22;9.68;351.33;198.67;22;2.6129;3.69E-03;1567
972;1.66;11.87;346.81;203.19;8;2.2736;2.05E-03;1843
973;2.57;11.83;339.83;210.17;19;2.6466;7.55E-03;9290
974;3.06;10.24;330.7;219.3;23;2.4099;2.01E-03;9303
975;4.35;10.11;49.57;140.43;7;2.3241;3.61E-03;8978
976;3.23;11.78;188.5;1.5;7;2.4898;2.03E-03;1088
977;5.83;10.86;8.07;181.93;22;2.2431;1.28E-03;1538
978;1.94;8.16;181.62;8.38;24;2.4362;1.30E-03;5887
979;4.55;9.6;133.79;56.21;2;2.5804;3.86E-03;2353
980;2.82;9.98;88.03;101.97;11;2.5152;1.53E-03;9629
981;4.13;11.93;245.93;304.07;3;2.617;1.95E-03;2289
982;5.66;12;12.57;177.43;4;2.3069;9.25E-04;3781
983;3.83;12.49;142.46;47.54;14;2.5097;3.07E-03;6112
984;3.88;12.44;280.37;269.63;21;2.2549;4.10E-04;4292
985;4.91;8.35;157.65;32.35;14;2.2943;5.09E-04;9249
986;2.87;11.25;304.95;245.05;9;2.3069;3.23E-03;8078
987;5.71;10.08;206.66;343.34;15;2.5985;8.67E-03;5857
988;3.19;8.99;89.18;100.82;7;2.5864;5.51E-03;4223
989;2.43;12.68;300.16;249.84;19;2.5549;7.76E-04;9310
990;2.41;12.97;346.03;203.97;2;2.2562;8.26E-04;8603
991;3.61;12.25;304.4;245.6;16;2.4002;2.55E-03;1748
992;5.54;8.46;305.99;244.01;19;2.2998;2.89E-03;4645
993;4.89;8.28;104.72;85.28;8;2.418;1.53E-03;3666
994;3.52;11.58;35.24;154.76;5;2.3891;3.61E-04;6970
995;3.49;12.42;60.96;129.04;4;2.4583;2.94E-03;6477
996;2.46;8.66;347.75;202.25;9;2.314;3.27E-03;4063
997;1.54;12.43;225.98;324.02;13;2.5965;3.99E-03;6438
998;3.5;10.87;253.35;296.65;3;2.4934;8.22E-04;2563
999;3.8;8.37;81.75;108.25;12;2.3387;1.86E-03;916
1000;3.36;12.03;286.34;263.66;11;2.4548;1.24E-03;7874
